fold,forecast_start,MAE,RMSE,SMAPE,WMAPE,R2
0,2024-03-07 23:00:00+00:00,15.720999433709489,20.679033541816953,34.135836281433676,25.667137400156975,0.3836787854843903
0,2024-03-07 23:00:00+00:00,23.516600952874594,32.05075020938407,38.466318463658475,38.38143292378501,-0.5664265894604195
0,2024-03-07 23:00:00+00:00,15.512840093674228,20.75096700870286,30.150562531080883,25.42093829000579,0.17318538359447178
1,2024-03-14 23:00:00+00:00,9.98168419236945,13.173902867685026,15.282576971761221,14.107307486264203,0.6760957530337448
1,2024-03-14 23:00:00+00:00,15.439962042244241,19.43609661690272,21.456805909471374,21.423191691859632,0.304872063935138
1,2024-03-14 23:00:00+00:00,13.150296609552635,18.1258862494489,22.884662300618768,17.910694582532656,0.4948176266061184
2,2024-03-21 23:00:00+00:00,24.547575091502917,30.656495770069434,58.7980749774484,41.7536243405823,0.10042594440167907
2,2024-03-21 23:00:00+00:00,32.27376994293758,39.972750181859816,63.224726750588346,52.92139128645399,-0.5338281238686118
2,2024-03-21 23:00:00+00:00,21.73868612428899,28.194989580034974,50.80882055778516,35.10259642237769,0.1906547169656121
3,2024-03-28 23:00:00+00:00,20.387291977202327,24.524295261599097,47.08027375072889,35.60550102357791,0.2690544842715811
3,2024-03-28 23:00:00+00:00,22.817481579897372,30.200369893547776,48.20904109696253,40.88671565838929,-0.09676354456962999
3,2024-03-28 23:00:00+00:00,23.306698896381484,31.594554402654797,53.01326579569094,41.74279367346044,0.22644630255257414
4,2024-04-04 23:00:00+00:00,29.277043537336702,37.59706571971046,76.16229486744331,48.2222958413416,0.2791901684807485
4,2024-04-04 23:00:00+00:00,32.70175809318833,42.08955806030911,72.94607135882333,51.32843859335976,0.11078433492487005
4,2024-04-04 23:00:00+00:00,26.110163651921283,32.72518776609288,70.94867529304251,42.50560542377215,0.39043876846041103
5,2024-04-11 23:00:00+00:00,29.627652843904137,34.912477797920076,71.95019209633769,47.40974500434974,0.429361808889702
5,2024-04-11 23:00:00+00:00,31.923442876427334,36.84448720844783,71.54131548391481,52.23171166643197,0.350511330671321
5,2024-04-11 23:00:00+00:00,25.912516264143385,30.55918870214358,64.91779303904755,41.11644489582873,0.49773284561839726
